Study Name	SiC_phase_study
Sample Name	2025-11-07
Run Name	spot05
Operator	Keshav
Date	11/7/2025
Time	18:24
Sign	FIX
Grating Spacing	08.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	6:29:46 PM
	
Time	Amplitude
3.715000E-8	8.456854E-3
3.720000E-8	8.480836E-3
3.725000E-8	8.571622E-3
3.730000E-8	8.717223E-3
3.735000E-8	8.897083E-3
3.740000E-8	9.075229E-3
3.745000E-8	9.258515E-3
3.750000E-8	9.428097E-3
3.755000E-8	9.563420E-3
3.760000E-8	9.640503E-3
3.765000E-8	9.662771E-3
3.770000E-8	9.637077E-3
3.775000E-8	9.602818E-3
3.780000E-8	9.580550E-3
3.785000E-8	9.539439E-3
3.790000E-8	9.460643E-3
3.795000E-8	9.359579E-3
3.800000E-8	9.236247E-3
3.805000E-8	9.088933E-3
3.810000E-8	8.919351E-3
3.815000E-8	8.748056E-3
3.820000E-8	8.604168E-3
3.825000E-8	8.487687E-3
3.830000E-8	8.384910E-3
3.835000E-8	8.292411E-3
3.840000E-8	8.223893E-3
3.845000E-8	8.193060E-3
3.850000E-8	8.208477E-3
3.855000E-8	8.271856E-3
3.860000E-8	8.367781E-3
3.865000E-8	8.472271E-3
3.870000E-8	8.576761E-3
3.875000E-8	8.658982E-3
3.880000E-8	8.705232E-3
3.885000E-8	8.730926E-3
3.890000E-8	8.763472E-3
3.895000E-8	8.790880E-3
3.900000E-8	8.778889E-3
3.905000E-8	8.742917E-3
3.910000E-8	8.706945E-3
3.915000E-8	8.676112E-3
3.920000E-8	8.643566E-3
3.925000E-8	8.612733E-3
3.930000E-8	8.588752E-3
3.935000E-8	8.566483E-3
3.940000E-8	8.537363E-3
3.945000E-8	8.494539E-3
3.950000E-8	8.424308E-3
3.955000E-8	8.352364E-3
3.960000E-8	8.282133E-3
3.965000E-8	8.205051E-3
3.970000E-8	8.141672E-3
3.975000E-8	8.110838E-3
3.980000E-8	8.081718E-3
3.985000E-8	8.050885E-3
3.990000E-8	8.044033E-3
3.995000E-8	8.037182E-3
4.000000E-8	8.028617E-3
4.005000E-8	8.045746E-3
4.010000E-8	8.095422E-3
4.015000E-8	8.139959E-3
4.020000E-8	8.187921E-3
