Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_300
Operator	Keshav
Date	12/17/2024
Time	17:55
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	5:55:34 PM
	
Time	Amplitude
7.090000E-8	-2.860675E-4
7.100000E-8	-2.552344E-4
7.110000E-8	-2.877804E-4
7.120000E-8	-3.717150E-4
7.130000E-8	-4.830567E-4
7.140000E-8	-6.098150E-4
7.150000E-8	-6.834719E-4
7.160000E-8	-6.749071E-4
7.170000E-8	-5.909726E-4
7.180000E-8	-4.402330E-4
7.190000E-8	-2.809286E-4
7.200000E-8	-1.815775E-4
7.210000E-8	-1.558833E-4
7.220000E-8	-2.055588E-4
7.230000E-8	-3.357430E-4
7.240000E-8	-4.693531E-4
7.250000E-8	-5.464359E-4
7.260000E-8	-5.567136E-4
7.270000E-8	-5.104639E-4
7.280000E-8	-4.368071E-4
7.290000E-8	-3.768538E-4
7.300000E-8	-3.648632E-4
7.310000E-8	-4.419459E-4
7.320000E-8	-5.567136E-4
7.330000E-8	-6.714812E-4
7.340000E-8	-7.519899E-4
7.350000E-8	-7.913877E-4
7.360000E-8	-8.290726E-4
7.370000E-8	-8.153690E-4
7.380000E-8	-8.170820E-4
7.390000E-8	-7.674064E-4
7.400000E-8	-7.211568E-4
7.410000E-8	-6.355093E-4
7.420000E-8	-5.361582E-4
7.430000E-8	-4.796308E-4
7.440000E-8	-5.018992E-4
7.450000E-8	-5.858337E-4
7.460000E-8	-7.160179E-4
7.470000E-8	-8.239338E-4
7.480000E-8	-8.599057E-4
7.490000E-8	-8.359244E-4
7.500000E-8	-7.674064E-4
7.510000E-8	-6.834719E-4
7.520000E-8	-6.029632E-4
7.530000E-8	-5.224546E-4
7.540000E-8	-4.402330E-4
7.550000E-8	-3.220394E-4
7.560000E-8	-2.192624E-4
7.570000E-8	-1.284761E-4
7.580000E-8	-1.473185E-4
